id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1044679652057774327,Jubilee park home,378158616,Lucky,,Maroondah,-37.82265810187174,145.22850596668562,Entire home/apt,,3,0,,,2,0,0,
1036489765594430755,Lovely Ringwood Studio w/ Ensuite,551026724,Rovern,,Maroondah,-37.810346667308245,145.2542562245353,Private room,45,2,3,2024-02-15,1.27,10,284,3,
38971182,Furnished accomodation,298550539,Amit,,Boroondara,-37.82194,145.02318,Private room,40,13,0,,,1,90,0,
572431386115618941,Selina St Kilda - Bed in 4-Bed Dormitory Room,446636199,Selina,,Port Phillip,-37.85982,144.97744,Shared room,123,1,30,2024-02-17,1.21,8,352,9,
28139568,Close to Monash Caulfield Short lease!!!,212558156,Xiaoxiao,,Stonnington,-37.84794,144.98943,Private room,,70,0,,,1,0,0,
33497686,我,252297574,Shirley,,Monash,-37.88783,145.13384,Private room,,365,0,,,1,0,0,
29601425,Short term stay for 3 weeks in CBD,173903823,Evedeved,,Melbourne,-37.81498,144.95339,Shared room,,20,0,,,2,0,0,
22297354,树德民宿,130124314,晓斌,,Wyndham,-37.87058,144.68937,Private room,,1,0,,,1,0,0,
805925195058091217,Tiny+Comfy place (S.Yarra),367775375,Kiran,,Stonnington,-37.84345,144.99165,Private room,,7,0,,,1,0,0,
1033674100345114867,Moresby Delight,8982132,Madeline,,Whitehorse,-37.80639295473653,145.20092931412825,Entire home/apt,,1,0,,,1,0,0,
727686708237430703,Habitación,382295537,Sandra,,Brimbank,-37.78855,144.84421,Private room,50,1,5,2024-02-17,0.81,3,359,5,
25645919,Single room in front of Melbourne city,108232061,Shihor,,Melbourne,-37.79479,144.94812,Private room,55,43,0,,,1,365,0,
23343629,Beautiful room in cozy house,2478739,Li Mei,,Monash,-37.86719,145.12286,Private room,,1,0,,,1,0,0,
41499958,Home in Richmond,236222293,Ling,,Yarra,-37.82513,145.00818,Entire home/apt,,1,1,2020-02-13,0.02,3,0,0,
42819689,Tree House Apartment,37758291,Stephen,,Port Phillip,-37.86,145.00642,Entire home/apt,,180,0,,,1,0,0,
34916097,Teejay's place,100811746,Teejay,,Port Phillip,-37.85777,144.9704,Private room,,7,0,,,1,0,0,
1106234039745058155,A bedroom in my home,16365362,Tomer,,Glen Eira,-37.92375562073685,145.0627358714051,Private room,120,1,1,2024-03-07,1,1,269,1,
1053974246558615906,1BR APT to Albert park,551937839,Caihua,,Port Phillip,-37.833316462724305,144.96912057905718,Entire home/apt,202,2,2,2024-03-01,2,7,0,2,
18692830,Exclusive Stays - Rivergarden,10190138,Tony,,Melbourne,-37.826507568359375,144.9561767578125,Entire home/apt,579,1,23,2023-10-08,0.28,68,38,2,
1051913801382467131,Walk to QV Market 2BR Tranquil in West Melbourne,22860147,Adji,,Melbourne,-37.80811,144.94996,Entire home/apt,166,3,2,2024-02-26,0.98,105,88,2,
688721850015867375,"Double/Twin Room in Carlton, Large w/ Balcony!",90729398,Flexistayz,,Melbourne,-37.80007,144.96761,Private room,80,7,2,2023-09-30,0.17,339,64,2,
47342959,"Beautiful 2 BR near Flinders Station, Southbank",156409670,Tushita,,Melbourne,-37.82128,144.96675,Entire home/apt,666,4,0,,,10,359,0,
9598660,CBD cool private bedroom,49677588,Mateus,,Melbourne,-37.81637,144.95457,Private room,,5,0,,,1,0,0,
9672219,Shareroom Apartment over christmas,49979658,Mone,,Melbourne,-37.81453,144.95453,Shared room,,1,0,,,1,0,0,
5994325,Cozy 2 Bedroom Apartment,27141709,Stephen,,Stonnington,-37.8568,145.02075,Entire home/apt,,10,70,2019-05-02,0.65,1,0,0,
6296249,One Bed room in st kilda,32739788,Felson,,Stonnington,-37.85577,144.98494,Private room,,1,0,,,2,0,0,
12498038,Spacious with a touch of luxury.,67678991,Thu,,Maroondah,-37.78,145.25504,Private room,,1,50,2020-03-07,0.54,1,0,0,
13643774,2 room apartment at the BEST location in CBD,63319209,Chris,,Melbourne,-37.82126,144.9572,Entire home/apt,,2,164,2021-11-23,1.75,1,0,0,
17612435,Superbly located in the heart of North Fitzroy.,73412971,Mikela,,Yarra,-37.79274,144.98104,Entire home/apt,,3,2,2018-10-06,0.03,1,0,0,
19952926,Cozy and spacious room,141431647,Eric,,Monash,-37.9177,145.12852,Private room,,1,1,2017-08-11,0.01,1,0,0,
22556989,Newry lane - Windsor Apartment,121975205,Loren,,Stonnington,-37.85439,145.00086,Entire home/apt,,2,1,2018-01-27,0.01,1,0,0,
27199270,Walk to monash hospital train station 步行到达火车站医院.,170897284,Julia,,Monash,-37.92157,145.12481,Entire home/apt,,1,34,2021-09-23,0.50,1,0,0,
39431841,Lovely large room available.,302873605,David,,Monash,-37.86185,145.09683,Private room,,7,0,,,1,0,0,
32386411,"FEMALE - Light, airy room with beautiful gardens",4133993,Kim,,Banyule,-37.7319,145.09034,Private room,,3,1,2019-04-12,0.02,4,0,0,
